Date,Price Close_BTC=,Volatility - 30 days_BTC=,TR.RSI14D_BTC=,Price Close_ETH=,Volatility - 30 days_ETH=,TR.RSI14D_ETH=,Price Close_SOL=,Volatility - 30 days_SOL=,TR.RSI14D_SOL=,Price Close_BTCc1,Volatility - 30 days_BTCc1,TR.RSI14D_BTCc1,Price Close_2330.TW,Volatility - 30 days_2330.TW,TR.RSI14D_2330.TW,Price Close_2454.TW,Volatility - 30 days_2454.TW,TR.RSI14D_2454.TW,Price Close_.TWII,Volatility - 30 days_.TWII,TR.RSI14D_.TWII,Price Close_LCOc1,Volatility - 30 days_LCOc1,TR.RSI14D_LCOc1,Price Close_XAU=,Volatility - 30 days_XAU=,TR.RSI14D_XAU=,Price Close_US10YT=RR,Volatility - 30 days_US10YT=RR,TR.RSI14D_US10YT=RR,Price Close_.N225,Volatility - 30 days_.N225,TR.RSI14D_.N225,Price Close_.FTSE,Volatility - 30 days_.FTSE,TR.RSI14D_.FTSE,Price Close_.GDAXI,Volatility - 30 days_.GDAXI,TR.RSI14D_.GDAXI,Price Close_EUR=,Volatility - 30 days_EUR=,TR.RSI14D_EUR=,Price Close_JPY=,Volatility - 30 days_JPY=,TR.RSI14D_JPY=,Price Close_CNY=,Volatility - 30 days_CNY=,TR.RSI14D_CNY=
2020-08-24 00:00:00,,,,,,,,,,,,,428.0,,,585.0,,,12647.13,,,,,,,,,,,,22985.51,,,6104.73,,,13066.54,,,,,,,,,,,
2020-08-25 00:00:00,,,,,,,,,,,,,434.5,,,589.0,,,12758.25,,,,,,,,,,,,23296.77,,,6037.01,,,13061.62,,,,,,,,,,,
2020-08-26 00:00:00,,,,,,,,,,,,,442.0,,,578.0,,,12833.29,,,,,,,,,,,,23290.86,,,6045.6,,,13190.15,,,,,,,,,,,
2020-08-27 00:00:00,,,,,,,,,,,,,444.0,,,558.0,,,12797.31,,,,,,,,,,,,23208.86,,,5999.99,,,13096.36,,,,,,,,,,,
2020-08-28 00:00:00,,,,,,,,,,,,,435.0,,,574.0,,,12728.85,,,,,,,,,,,,22882.65,,,5963.57,,,13033.2,,,,,,,,,,,
2020-08-31 00:00:00,,,,,,,,,,,,,426.5,,,556.0,,,12591.45,,,,,,,,,,,,23139.76,,,,,,12945.38,,,,,,,,,,,
2020-09-01 00:00:00,,,,,,,,,,,,,435.0,,,576.0,,,12703.28,,,,,,,,,,,,23138.07,,,5862.05,,,12974.25,,,,,,,,,,,
2020-09-02 00:00:00,,,,,,,,,,,,,433.0,,,596.0,,,12699.5,,,,,,,,,,,,23247.15,,,5940.95,,,13243.43,,,,,,,,,,,
2020-09-03 00:00:00,,,,,,,,,,,,,436.0,,,603.0,,,12757.97,,,,,,,,,,,,23465.53,,,5850.86,,,13057.77,,,,,,,,,,,
2020-09-04 00:00:00,,,,,,,,,,,,,429.0,,,603.0,,,12637.95,,,,,,,,,,,,23205.43,,,5799.08,,,12842.66,,,,,,,,,,,
2020-09-07 00:00:00,,,,,,,,,,,,,426.0,,,598.0,,,12601.4,,,,,,,,,,,,23089.95,,,5937.4,,,13100.28,,,,,,,,,,,
2020-09-08 00:00:00,,,,,,,,,,,,,431.0,,,604.0,,,12663.56,,,,,,,,,,,,23274.13,,,5930.3,,,12968.33,,,,,,,,,,,
2020-09-09 00:00:00,,,,,,,,,,,,,427.0,,,595.0,,,12608.58,,,,,,,,,,,,23032.54,,,6012.84,,,13237.21,,,,,,,,,,,
2020-09-10 00:00:00,,,,,,,,,,,,,435.0,,,599.0,,,12691.75,,,,,,,,,,,,23235.47,,,6003.32,,,13208.89,,,,,,,,,,,
